track_label,sample_count,support_fractions,days_present,bands_present,mean_emc_baseline_track,std_emc_baseline_track,mean_emc_tto_baseline_track,std_emc_tto_baseline_track,emc_tto_uplift_baseline_track,mean_ehtim_baseline_track,mean_dps_baseline_track,best_baseline_track_model,best_baseline_track_model_label,best_baseline_track_mean,mean_emc_miw,mean_emc_tto_miw
M87 2017 (2019-D01-01),8,80/60/40/20,"95,96,100,101","hi,lo",0.42348573240451515,0.08217301016017879,0.35392195964232087,0.030865224559690176,0.06956377276219428,0.3408753867261112,0.9506005214061588,tikhonov,Tikhonov,0.34071079827845097,0.16794954612851143,0.16794954612851143
M87 2018 (2024-D01-01),12,80/60/40/20,"111,112,115","b1,b2,b3,b4",0.30461996669570607,0.03013719431821319,0.38788497044394415,0.032704825072382135,-0.08326500374823809,0.4135809452272951,0.9903073248763878,visibility_conditioned,Standalone Visibility,0.3045665379613638,0.16794954612851143,0.16794954612851143
3C279 2017 (2020-D01-01),8,80/60/40/20,"95,96,100,101","hi,lo",0.5782058546319604,0.039662939703009006,0.3506696349941194,0.01741031883420781,0.227536219637841,0.35968709317967296,1.1226366993505508,emc_tto,EMC-TTO,0.3506696349941194,0.16794954612851143,0.16794954612851143
CenA 2017 (2021-D03-01),2,80/60/40/20,100,"hi,lo",0.15479717403650284,0.01539746057674649,0.3410045811906457,0.04712608924324248,-0.18620740715414286,0.3425475060939789,0.7123663630336523,emc,EMC,0.15479717403650284,0.16794954612851143,0.16794954612851143
