support_fraction_tag,baseline_learned_mean,baseline_learned_std,residual_refinement_mean,residual_refinement_std,ccrr_mean,ccrr_std,emc_mean,emc_std,best_model,best_model_label,best_model_mean
80,0.11550400707637891,0.0038605885923870637,0.10950286958832293,0.006575092869551008,0.11616671367082745,0.005155936123905787,0.11567571472842246,0.006969161372789107,residual_refinement,Residual Refinement,0.10950286958832293
60,0.11905122383031994,0.004628432444629255,0.11148781075607986,0.007927586303301985,0.11943573366152123,0.006324565839200289,0.11783860732102766,0.007453915173165973,residual_refinement,Residual Refinement,0.11148781075607986
40,0.12144022467546164,0.004955003573587908,0.11293513271957636,0.008681598218523861,0.12175075223203749,0.00649407749460622,0.11945404035504907,0.007484504657374918,residual_refinement,Residual Refinement,0.11293513271957636
20,0.12268858866300433,0.0053243179408846856,0.11359242408070713,0.00963320585403178,0.12287932697217911,0.0069171050278289,0.12032942315563559,0.007613577534313756,residual_refinement,Residual Refinement,0.11359242408070713
